Details,price,ratings
"APPLE iPhone 14 (Blue, 128 GB)","₹58,999",4.6
"APPLE iPhone 14 (Starlight, 128 GB)","₹59,999",4.6
"APPLE iPhone 14 (Midnight, 128 GB)","₹59,999",4.6
"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)","₹12,490",4.2
"APPLE iPhone 14 Plus (Midnight, 128 GB)","₹67,999",4.6
"APPLE iPhone 14 Plus (Purple, 128 GB)","₹67,999",4.6
"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)","₹12,490",4.2
"APPLE iPhone 14 (Purple, 128 GB)","₹59,999",4.6
"APPLE iPhone 14 Plus (Starlight, 128 GB)","₹67,999",4.6
"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)","₹12,490",4.2
"vivo T2x 5G (Marine Blue, 128 GB)","₹12,999",4.4
"vivo T2x 5G (Aurora Gold, 128 GB)","₹11,999",4.4
"vivo T2x 5G (Glimmer Black, 128 GB)","₹12,999",4.4
"vivo T2x 5G (Aurora Gold, 128 GB)","₹12,999",4.4
"vivo T2x 5G (Aurora Gold, 128 GB)","₹14,999",4.3
"vivo T2x 5G (Marine Blue, 128 GB)","₹11,999",4.4
"vivo T2x 5G (Glimmer Black, 128 GB)","₹11,999",4.4
"vivo T2x 5G (Marine Blue, 128 GB)","₹14,999",4.3
"vivo T2x 5G (Glimmer Black, 128 GB)","₹14,999",4.3
"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)","₹17,062",4.4
"MOTOROLA g54 5G (Mint Green, 128 GB)","₹13,999",4.2
"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)","₹11,490",4.2
"MOTOROLA g54 5G (Midnight Blue, 128 GB)","₹13,999",4.2
"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)","₹11,490",4.2
